order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
80,3207,201,Veg Biryani,2025-04-29,12:40:53,Cancelled,1486.3
81,4490,202,Veg Biryani,2024-10-16,07:06:11,Completed,728.03
82,2491,235,Pizza,2025-08-17,01:58:14,Cancelled,378.61
83,2385,75,Burger,2025-12-13,17:33:54,Completed,1632.19
84,75,186,Veg Biryani,2024-07-19,23:42:39,Cancelled,1596.74
85,3499,87,Chicken Biryani,2024-05-31,13:42:35,Completed,788.5
86,430,61,Fried Rice,2025-04-30,06:32:24,Cancelled,935.58
87,3310,126,Chicken Biryani,2024-06-01,22:49:38,Completed,572.81
88,4884,89,Pasta,2025-05-15,11:01:14,Cancelled,1983.39
89,735,238,Pasta,2025-11-17,23:58:33,Pending,1308.79
90,96,62,Veg Biryani,2025-03-31,13:22:25,Completed,349.46
91,1843,12,Paneer Curry,2025-10-18,18:33:33,Pending,1424.2
92,1484,197,Paneer Curry,2024-04-06,21:35:09,Cancelled,1441.15
93,1026,51,Fried Rice,2024-11-01,20:48:17,Completed,1461.88
94,3321,11,Pasta,2025-07-04,06:43:53,Cancelled,1656.83
95,524,266,Veg Biryani,2025-06-26,17:47:16,Completed,1935.48
96,4908,93,Chicken Biryani,2024-04-30,06:34:40,Cancelled,960.8
97,321,66,Burger,2024-11-17,04:28:47,Cancelled,423.08
98,287,44,Veg Biryani,2025-07-29,09:20:54,Cancelled,681.33
99,3466,1,Burger,2025-07-11,06:14:52,Pending,206.79
100,4376,228,Pizza,2025-06-15,10:40:56,Cancelled,1042.03
101,2885,276,Burger,2024-11-16,19:01:46,Cancelled,306.14
102,301,97,Pizza,2024-02-15,08:37:57,Pending,1729.44
103,4933,283,Burger,2024-08-08,04:53:10,Cancelled,795.04
104,3458,39,Dosa,2024-05-11,22:39:27,Pending,837.75
105,3737,43,Dosa,2024-06-16,14:33:56,Cancelled,919.65
106,4391,105,Veg Biryani,2025-12-12,05:12:55,Cancelled,1497.43
107,1579,191,Pizza,2025-10-10,23:30:16,Pending,1664.55
108,3105,14,Burger,2024-11-19,15:47:16,Completed,627.84
109,4493,209,Veg Biryani,2025-06-28,04:00:16,Pending,1323.53
110,2239,75,Burger,2025-01-06,12:08:34,Pending,138.54
111,3102,54,Veg Biryani,2025-01-21,08:05:27,Completed,1109.77
112,4011,49,Fried Rice,2024-11-09,21:26:18,Cancelled,1195.66
113,2221,51,Chicken Biryani,2024-10-15,20:04:51,Completed,717.83
114,1481,177,Pasta,2026-02-08,14:11:00,Pending,1233.54
115,4208,80,Pizza,2024-09-22,00:20:44,Completed,832.15
116,434,190,Burger,2026-01-23,09:44:04,Cancelled,1264.36
117,1500,225,Fried Rice,2025-12-24,16:40:03,Pending,1064.19
118,4265,118,Dosa,2024-10-09,15:34:28,Cancelled,1732.89
119,2562,47,Veg Biryani,2024-11-08,14:48:02,Completed,1492.31
120,4713,30,Veg Biryani,2024-04-05,06:00:41,Cancelled,657.4
121,3474,261,Pizza,2025-05-19,00:23:21,Pending,1055.87
122,1022,208,Chicken Biryani,2025-12-02,19:23:03,Cancelled,477.55
123,3482,274,Fried Rice,2026-02-02,00:15:55,Completed,1989.14
124,4991,22,Paneer Curry,2025-11-08,19:13:40,Completed,1388.1
125,1844,90,Veg Biryani,2026-02-21,19:03:38,Pending,1698.09
126,418,217,Paneer Curry,2025-06-10,12:51:46,Pending,440.51
127,2047,277,Veg Biryani,2024-04-25,12:18:16,Pending,682.45
128,1746,2,Pasta,2024-10-27,09:38:21,Completed,1855.35
129,291,238,Paneer Curry,2025-10-20,18:46:11,Completed,788.8
130,2692,153,Fried Rice,2025-09-22,16:45:39,Completed,129.69
131,3294,182,Chicken Biryani,2026-01-09,06:46:40,Completed,929.91
132,4335,264,Pizza,2024-07-21,03:05:07,Pending,352.82
133,1275,129,Burger,2025-05-14,00:15:05,Pending,863.27
134,3509,94,Dosa,2024-11-02,13:16:15,Completed,1980.01
135,1326,72,Fried Rice,2025-11-03,15:59:47,Cancelled,935.85
136,907,98,Dosa,2025-01-02,07:13:33,Completed,371.32
137,259,83,Burger,2025-03-07,12:03:32,Pending,1924.23
138,3450,251,Paneer Curry,2024-09-29,04:19:30,Cancelled,1462.92
139,4112,200,Pizza,2024-11-28,14:33:32,Completed,1920.44
140,1275,177,Chicken Biryani,2024-01-22,04:35:31,Cancelled,564.63
141,3520,5,Pasta,2025-11-25,12:27:25,Pending,664.2
142,3514,127,Pizza,2025-05-12,03:00:28,Cancelled,1081.13
143,943,135,Burger,2024-09-12,10:14:09,Cancelled,1662.75
144,845,258,Pizza,2024-07-22,17:15:14,Completed,1986
145,1219,118,Veg Biryani,2025-08-28,22:53:52,Completed,874.41
146,1198,219,Chicken Biryani,2024-10-07,06:59:49,Cancelled,495.33
147,3337,269,Dosa,2024-02-22,13:50:53,Cancelled,1310.62
148,2754,219,Paneer Curry,2024-08-24,08:04:28,Completed,1078.54
149,2493,57,Dosa,2025-10-21,01:52:50,Pending,647.45
150,2024,164,Chicken Biryani,2024-12-25,15:13:17,Completed,196.87
151,1737,147,Paneer Curry,2024-02-23,11:42:37,Pending,1827.95
152,1515,130,Paneer Curry,2024-04-13,15:41:19,Pending,748.45
153,112,283,Pizza,2024-04-24,03:31:39,Pending,797.87
154,4333,191,Burger,2025-01-05,21:26:29,Cancelled,638.78
155,715,55,Pizza,2025-08-21,13:58:58,Cancelled,1516.06
156,4806,98,Burger,2024-05-03,01:29:39,Cancelled,958.05
157,4478,176,Dosa,2024-04-11,02:43:34,Cancelled,1011.49
158,4371,79,Chicken Biryani,2026-02-18,07:21:16,Completed,480.41
159,4591,178,Fried Rice,2025-07-17,09:11:39,Pending,1304.15
160,555,248,Pasta,2024-04-30,15:52:43,Cancelled,1870.9
161,1368,141,Pizza,2025-05-30,00:47:47,Pending,205.44
162,1559,204,Paneer Curry,2025-08-02,02:12:48,Cancelled,1121.04
163,1356,225,Pasta,2025-06-09,02:43:48,Cancelled,1585.22
164,2225,106,Pizza,2025-02-14,22:06:29,Completed,420.81
165,73,263,Paneer Curry,2024-08-11,21:33:29,Cancelled,1450.58
166,2486,113,Dosa,2025-06-21,09:25:25,Cancelled,624.81
167,1835,24,Burger,2024-05-01,06:13:47,Pending,193.49
168,1090,139,Chicken Biryani,2024-05-31,10:06:46,Cancelled,1962.44
169,952,1,Fried Rice,2024-08-03,19:27:50,Cancelled,1257.7
170,682,282,Dosa,2025-01-12,11:49:00,Cancelled,371.19
171,2660,30,Chicken Biryani,2025-09-18,10:44:12,Pending,532.25
172,2098,9,Veg Biryani,2024-10-13,06:26:05,Cancelled,1522.05
173,2109,283,Burger,2025-01-26,23:48:18,Pending,534.8
174,4765,203,Pizza,2024-10-02,07:25:28,Pending,555.64
175,3020,76,Paneer Curry,2026-01-13,15:47:52,Completed,1052.41
176,1443,97,Paneer Curry,2025-04-15,06:44:11,Cancelled,459.16
177,2541,84,Pizza,2024-10-15,00:45:58,Pending,1412.25
178,1176,37,Pasta,2024-07-11,02:31:43,Completed,975.45
179,822,270,Pizza,2025-10-22,14:39:17,Cancelled,1530.84
180,817,194,Pasta,2024-01-13,21:57:54,Completed,326.87
181,359,68,Burger,2024-01-14,23:27:53,Completed,623.19
182,111,5,Veg Biryani,2025-10-04,21:49:55,Cancelled,1503.93
183,1658,72,Paneer Curry,2024-12-12,03:05:36,Cancelled,1797.69
184,2718,246,Pizza,2024-06-16,11:11:29,Completed,225.05
185,4454,64,Chicken Biryani,2025-12-09,09:44:16,Completed,313.29
186,4191,213,Pizza,2024-10-30,03:44:03,Completed,1834.87
187,3500,198,Pizza,2024-01-25,08:15:10,Pending,1352.09
188,921,252,Pizza,2024-08-19,14:00:29,Completed,542.1
189,625,171,Veg Biryani,2024-10-15,13:00:33,Pending,1855.84
190,4953,78,Pizza,2024-03-27,01:34:41,Pending,1117.3
191,3484,77,Dosa,2025-09-06,06:36:11,Cancelled,1657.02
192,2221,256,Fried Rice,2024-12-22,03:47:01,Pending,1644.15
193,18,77,Pizza,2025-12-29,02:46:49,Pending,397.83
194,552,58,Pasta,2025-04-02,17:25:09,Cancelled,643.54
195,1045,94,Pasta,2024-04-02,11:45:43,Pending,720.31
196,3392,171,Pizza,2025-03-10,17:31:23,Cancelled,1852.62
197,4501,255,Paneer Curry,2025-01-27,15:14:34,Cancelled,1128.08
198,685,298,Pasta,2024-08-23,14:00:13,Cancelled,1206.41
199,715,121,Fried Rice,2025-12-11,07:59:08,Completed,502.17
200,4575,243,Pizza,2024-01-18,13:11:40,Completed,232.01
201,1142,151,Paneer Curry,2024-12-23,13:08:18,Completed,1690.27
202,1987,108,Burger,2025-07-18,15:19:51,Completed,1524.35
203,3093,14,Pasta,2024-04-30,05:12:33,Pending,221.68
204,605,245,Pizza,2024-04-18,21:10:32,Completed,396.15
205,2008,40,Chicken Biryani,2024-05-24,02:52:33,Cancelled,1682.41
206,1495,241,Pizza,2025-03-02,05:27:03,Cancelled,1111.61
207,3372,173,Paneer Curry,2024-11-02,17:07:08,Cancelled,1427.06
208,1278,31,Chicken Biryani,2024-10-20,04:03:03,Cancelled,1532.13
209,90,203,Pasta,2025-05-30,05:50:17,Cancelled,1902.69
210,2114,293,Dosa,2025-04-10,20:10:34,Cancelled,547.35
211,754,268,Pasta,2024-06-09,09:53:48,Completed,1517.09
212,459,113,Pasta,2025-02-14,22:32:19,Completed,1666.31
213,633,240,Paneer Curry,2025-07-26,22:01:49,Pending,1347.08
214,1351,28,Fried Rice,2025-02-18,13:51:08,Cancelled,917.54
215,856,40,Fried Rice,2024-10-03,03:56:48,Cancelled,1584.14
216,1963,145,Pizza,2024-12-09,01:01:16,Cancelled,320.15
217,90,159,Burger,2024-08-04,21:44:24,Cancelled,499.24
218,2206,44,Chicken Biryani,2024-02-03,08:45:01,Cancelled,1974.61
219,394,162,Veg Biryani,2025-05-10,01:39:47,Pending,135.94
220,3262,257,Burger,2024-12-31,10:16:55,Pending,1533.46
221,1062,50,Fried Rice,2026-01-13,12:57:20,Pending,1805.44
222,4114,77,Chicken Biryani,2025-05-30,03:40:38,Cancelled,1616.61
223,307,149,Pizza,2025-05-03,21:20:55,Completed,1402.86
224,765,119,Burger,2024-03-21,22:47:24,Cancelled,1349.93
225,4110,265,Fried Rice,2026-02-26,05:51:48,Pending,1596.46
226,2952,221,Chicken Biryani,2024-12-13,10:35:21,Cancelled,1575.45
227,1711,39,Pizza,2025-01-31,08:42:20,Cancelled,1300.24
228,123,74,Dosa,2025-05-24,03:32:47,Cancelled,1750.96
229,4088,49,Paneer Curry,2026-03-11,03:10:25,Pending,439.07
230,559,144,Fried Rice,2024-10-29,05:52:44,Pending,287.75
231,2114,243,Dosa,2024-07-02,16:46:30,Pending,1342.55
232,4660,250,Chicken Biryani,2024-05-23,04:30:48,Pending,1734.93
233,1057,226,Fried Rice,2025-02-14,14:53:32,Cancelled,1708.29
234,684,212,Paneer Curry,2024-11-17,13:36:19,Pending,1769.53
235,468,126,Chicken Biryani,2025-11-29,01:33:13,Completed,1723.75
236,1297,292,Pasta,2024-10-24,13:40:59,Completed,539.34
237,2859,239,Paneer Curry,2025-04-18,03:24:15,Cancelled,1126.02
238,704,93,Veg Biryani,2025-04-21,03:58:22,Pending,1564.25
239,2693,34,Fried Rice,2024-07-23,14:37:08,Pending,1993.3
240,3902,59,Dosa,2025-05-12,07:44:30,Pending,191.97
241,1193,110,Fried Rice,2024-06-08,17:06:39,Cancelled,178.89
242,512,186,Pasta,2025-09-07,13:50:44,Pending,521.23
243,3465,139,Dosa,2024-08-04,00:50:07,Cancelled,451.08
244,2244,208,Veg Biryani,2024-05-25,02:31:17,Pending,1762.7
245,4299,110,Dosa,2025-04-07,15:16:53,Completed,1681.43
246,2802,153,Pizza,2024-04-04,15:36:08,Completed,776.64
247,3896,275,Pizza,2025-03-05,17:32:07,Cancelled,941.15
248,3188,6,Burger,2025-12-10,20:45:52,Completed,1478.72
249,1185,166,Fried Rice,2025-08-15,22:26:47,Completed,402.95
250,4092,163,Veg Biryani,2025-04-14,05:22:11,Cancelled,884.01
251,3691,65,Paneer Curry,2025-06-17,00:08:01,Cancelled,1942.58
252,1791,97,Pasta,2024-04-09,01:19:42,Cancelled,1146.64
253,3093,111,Fried Rice,2024-06-19,21:52:46,Completed,1910.47
254,118,190,Fried Rice,2025-11-26,21:00:07,Completed,687.66
255,1022,256,Paneer Curry,2024-11-10,18:16:49,Pending,891.53
256,3489,268,Fried Rice,2024-12-26,19:45:02,Completed,1861.54
257,3057,91,Pizza,2025-04-14,15:35:49,Cancelled,939.45
258,2321,51,Veg Biryani,2024-10-18,15:55:43,Completed,288.52
259,3370,54,Paneer Curry,2024-01-17,22:26:14,Cancelled,1533.25
260,3639,258,Chicken Biryani,2025-07-11,03:37:48,Cancelled,665.02
261,1826,233,Pasta,2025-03-06,07:42:50,Completed,487.65
262,2873,238,Pasta,2025-04-25,04:31:50,Cancelled,1443.21
263,63,192,Burger,2026-01-28,14:24:39,Cancelled,653.18
264,2519,213,Burger,2025-11-05,09:37:48,Completed,1812.35
265,128,14,Pizza,2025-02-28,01:11:22,Pending,1700.65
266,2601,172,Pizza,2025-06-15,21:50:36,Cancelled,1986.52
267,3207,99,Pasta,2024-09-04,20:14:01,Completed,1626.5
268,1056,200,Pizza,2025-08-14,15:37:23,Pending,1819.84
269,3584,119,Veg Biryani,2025-06-13,05:46:07,Cancelled,1626.2
270,4727,201,Dosa,2025-05-31,04:18:35,Cancelled,419.02
271,764,48,Chicken Biryani,2024-11-26,07:25:07,Pending,141.69
272,1254,15,Veg Biryani,2026-02-27,21:36:03,Cancelled,838.92
273,3717,184,Pizza,2026-01-30,04:45:11,Completed,1346.74
274,1588,275,Burger,2024-08-15,10:48:38,Cancelled,1586.45
275,424,141,Veg Biryani,2025-01-22,09:29:01,Completed,1299.58
276,848,57,Paneer Curry,2025-10-15,21:05:37,Cancelled,350.65
277,2147,93,Veg Biryani,2024-05-25,10:17:02,Completed,1049.18
278,3202,52,Paneer Curry,2025-01-05,07:34:19,Completed,897.84
279,626,108,Pasta,2025-05-13,22:46:49,Pending,1792.66
280,1320,93,Dosa,2025-10-10,16:24:57,Completed,1818.84
281,4970,17,Veg Biryani,2025-11-06,20:39:16,Pending,1988.23
282,4916,280,Chicken Biryani,2025-05-10,22:21:18,Completed,1100.89
283,1580,16,Chicken Biryani,2024-09-17,04:25:37,Cancelled,1082.08
284,2990,59,Burger,2024-06-05,07:52:31,Completed,735.77
285,1037,138,Dosa,2024-08-13,03:02:17,Pending,494.57
286,4518,151,Paneer Curry,2024-04-04,12:41:25,Cancelled,1640.94
287,3277,99,Dosa,2025-03-22,18:39:54,Completed,492.01
288,3219,53,Dosa,2026-01-04,10:14:02,Completed,1612.91
289,3551,229,Pasta,2026-01-09,17:45:41,Cancelled,1524.51
290,882,197,Pasta,2024-11-22,22:40:46,Completed,1186.23
291,527,231,Pizza,2025-01-17,23:02:09,Completed,1921.22
292,3358,151,Fried Rice,2024-09-16,21:22:02,Pending,176.29
293,3518,96,Fried Rice,2024-07-03,11:44:54,Completed,256.56
294,3048,75,Fried Rice,2025-11-03,13:31:54,Completed,138.11
295,2695,110,Paneer Curry,2025-12-05,00:23:48,Cancelled,1615.05
296,543,198,Dosa,2024-08-26,20:26:55,Cancelled,518.89
297,4596,143,Veg Biryani,2024-08-10,03:44:49,Cancelled,1798.21
298,2604,164,Burger,2025-03-07,15:50:43,Completed,213.36
299,384,141,Pasta,2025-05-20,18:09:19,Completed,353.29
300,2678,197,Burger,2024-06-24,21:53:50,Cancelled,159.99
301,4717,3,Paneer Curry,2024-01-19,23:26:06,Pending,366.39
302,4371,271,Chicken Biryani,2025-02-16,01:20:50,Pending,1332.18
303,780,213,Dosa,2024-03-12,17:06:29,Pending,716.32
304,654,285,Fried Rice,2024-12-20,14:34:33,Pending,1271.16
305,3724,253,Veg Biryani,2025-02-06,10:51:57,Pending,1882.88
306,1836,25,Chicken Biryani,2024-04-15,01:03:58,Completed,317.66
307,1855,88,Veg Biryani,2024-11-26,15:51:45,Completed,1481.32
308,41,27,Dosa,2025-01-12,19:34:18,Completed,328.31
309,2161,169,Pasta,2024-11-07,02:43:55,Pending,1433.49
310,3775,62,Pizza,2024-05-21,21:14:34,Pending,1740.36
311,3386,229,Veg Biryani,2026-02-10,21:16:03,Cancelled,1111.87
312,4015,144,Fried Rice,2025-08-14,17:24:02,Cancelled,1027.49
313,2427,43,Fried Rice,2024-04-04,09:36:18,Cancelled,1690.82
314,1687,40,Veg Biryani,2024-09-05,23:33:41,Pending,233.3
315,3836,198,Burger,2024-01-14,07:52:09,Pending,316.53
316,4323,264,Fried Rice,2024-08-01,21:30:01,Pending,1452
317,4133,55,Pizza,2025-11-02,05:36:24,Completed,1843.39
318,4207,104,Pasta,2025-01-29,16:28:21,Completed,249.04
319,2517,296,Veg Biryani,2025-03-09,05:58:41,Completed,986.59
320,1971,9,Paneer Curry,2024-04-19,04:00:44,Completed,621.5
321,3709,181,Dosa,2025-05-02,19:19:44,Completed,1862.62
322,3535,109,Pizza,2024-03-27,12:54:15,Pending,1064.12
323,436,226,Dosa,2025-06-04,12:09:03,Pending,303.89
324,3462,100,Dosa,2025-10-26,13:55:37,Completed,877.06
325,4339,253,Pasta,2025-08-31,10:02:46,Completed,1400.58
326,910,113,Veg Biryani,2025-10-23,09:03:49,Completed,1802.71
327,1956,34,Veg Biryani,2025-08-12,09:41:28,Pending,545.75
328,3211,202,Veg Biryani,2025-09-27,14:43:46,Completed,1499.78
329,4057,106,Pizza,2025-12-09,09:46:02,Completed,773.55
330,2360,2,Veg Biryani,2024-10-21,21:42:39,Completed,1066.09
331,3906,157,Burger,2025-12-18,22:39:02,Completed,712.41
332,1535,171,Paneer Curry,2024-03-12,06:04:02,Completed,1929.02
333,3506,172,Chicken Biryani,2025-11-13,17:16:46,Completed,1951.82
334,80,181,Paneer Curry,2024-03-19,06:12:57,Cancelled,121.89
335,897,24,Chicken Biryani,2024-09-10,17:12:20,Cancelled,1398.49
336,4304,258,Pizza,2024-10-24,08:18:42,Completed,1577.48
337,2750,232,Paneer Curry,2024-04-12,11:05:24,Cancelled,779.47
338,3986,130,Fried Rice,2025-07-12,09:22:10,Pending,145.49
339,2734,266,Paneer Curry,2024-12-27,10:57:50,Completed,627.48
340,170,76,Pasta,2025-06-15,23:17:39,Completed,1359.61
341,4079,16,Burger,2024-05-25,13:00:18,Cancelled,1513.1
342,1691,46,Burger,2025-03-17,13:05:09,Pending,1320.82
343,4464,231,Pizza,2024-10-07,22:49:27,Pending,1831.42
344,3204,214,Dosa,2024-12-23,12:03:30,Pending,478.28
345,2813,63,Pasta,2025-08-16,18:56:07,Pending,1185.33
346,903,5,Paneer Curry,2024-12-21,10:30:02,Cancelled,396.61
347,4286,149,Pizza,2025-11-28,05:28:10,Pending,1035.23
348,128,233,Chicken Biryani,2024-03-07,10:43:50,Completed,652.07
349,436,251,Dosa,2025-08-30,04:29:38,Completed,929.01
350,409,129,Pizza,2025-11-07,00:01:24,Pending,1772
351,1271,45,Dosa,2025-05-29,20:24:58,Completed,1992.32
352,4795,42,Dosa,2024-07-20,15:43:49,Completed,180.42
353,3165,217,Pasta,2024-12-29,09:03:21,Completed,1798.9
354,2546,89,Pasta,2024-11-05,21:44:15,Cancelled,1766.75
355,1635,129,Pizza,2025-08-15,05:04:02,Pending,1162.05
356,702,153,Paneer Curry,2024-11-04,11:06:16,Cancelled,464.74
357,1136,270,Paneer Curry,2025-03-23,03:29:48,Cancelled,708.93
358,3837,182,Pasta,2025-12-02,13:01:05,Pending,910.55
359,227,287,Chicken Biryani,2025-02-24,16:47:41,Pending,286.25
360,2478,125,Fried Rice,2024-05-23,22:23:56,Completed,1287.27
361,439,202,Pizza,2025-08-02,10:40:49,Pending,1379.75
362,3771,28,Veg Biryani,2025-04-18,18:51:36,Completed,627.93
363,2732,50,Dosa,2025-10-27,03:53:51,Cancelled,1025.16
364,995,300,Chicken Biryani,2024-12-05,02:12:57,Cancelled,505.52
365,4058,70,Burger,2024-05-27,20:27:48,Cancelled,1322.58
366,2547,4,Paneer Curry,2024-06-07,10:57:18,Cancelled,1413.02
367,1,79,Veg Biryani,2024-04-27,02:26:40,Cancelled,302.1
368,3881,13,Paneer Curry,2024-07-28,03:46:19,Pending,224.63
369,3315,248,Pizza,2024-05-04,10:55:11,Completed,1702.44
370,3598,64,Pasta,2025-07-13,09:28:34,Completed,1316.05
371,1972,88,Burger,2024-07-08,05:09:31,Pending,1023.28
372,4824,253,Fried Rice,2024-10-23,03:38:29,Cancelled,637.34
373,3801,214,Pasta,2025-01-30,03:54:28,Completed,172.58
374,4623,200,Chicken Biryani,2025-04-13,04:22:25,Cancelled,689.19
375,3642,22,Fried Rice,2025-10-22,23:40:52,Completed,999.67
376,2269,5,Pizza,2026-01-10,16:41:16,Pending,1061.2
377,2858,269,Pasta,2025-05-30,07:40:27,Cancelled,238
378,2883,289,Fried Rice,2025-11-02,05:30:44,Pending,1464.54
379,2482,202,Veg Biryani,2024-05-23,10:08:02,Cancelled,1029.44
380,1478,295,Dosa,2025-04-28,22:03:28,Completed,1431.81
381,2852,300,Pasta,2025-08-25,21:08:36,Completed,204.47
382,1899,50,Veg Biryani,2026-01-20,05:47:43,Pending,1876.36
383,1897,122,Veg Biryani,2025-05-02,11:47:02,Completed,1488.95
384,528,32,Dosa,2025-01-28,15:17:37,Completed,190.35
385,3618,192,Chicken Biryani,2026-02-06,02:39:12,Completed,723.78
386,3094,69,Burger,2025-12-16,16:21:58,Completed,594.69
387,1848,104,Pizza,2025-03-24,10:24:58,Pending,1650.01
388,4769,13,Veg Biryani,2024-07-15,03:07:54,Completed,182.49
389,2946,209,Veg Biryani,2024-05-23,00:11:26,Pending,468.37
390,4327,255,Burger,2026-01-17,23:22:58,Completed,1192.3
391,2885,183,Pizza,2025-04-30,18:14:07,Completed,945.09
392,581,292,Veg Biryani,2025-10-02,13:41:38,Completed,1590.89
393,967,256,Burger,2024-11-01,03:40:26,Completed,1250.8
394,1836,149,Dosa,2024-12-04,00:49:14,Pending,1442.15
