delivery_id,order_id,delivery_status,delivery_time,rider_id
218,218,Delivered,100 mins,421
219,219,Not Delivered,94 mins,16
220,220,Not Delivered,50 mins,246
221,221,In Transit,75 mins,378
222,222,Delivered,95 mins,183
223,223,Delivered,88 mins,105
224,224,In Transit,85 mins,490
225,225,Not Delivered,113 mins,203
226,226,Not Delivered,112 mins,340
227,227,Delivered,79 mins,392
228,228,Not Delivered,40 mins,304
229,229,Not Delivered,62 mins,319
230,230,Not Delivered,111 mins,10
231,231,Delivered,25 mins,265
232,232,In Transit,19 mins,139
233,233,Not Delivered,75 mins,139
234,234,Not Delivered,79 mins,205
235,235,Not Delivered,36 mins,426
236,236,In Transit,42 mins,286
237,237,Not Delivered,46 mins,451
238,238,In Transit,81 mins,252
239,239,In Transit,79 mins,215
240,240,Delivered,28 mins,219
241,241,In Transit,87 mins,134
242,242,Not Delivered,79 mins,271
243,243,Not Delivered,45 mins,169
244,244,In Transit,69 mins,235
245,245,Delivered,94 mins,478
246,246,Not Delivered,33 mins,423
247,247,Not Delivered,106 mins,166
248,248,In Transit,95 mins,283
249,249,In Transit,110 mins,278
250,250,Delivered,80 mins,34
251,251,In Transit,26 mins,233
252,252,In Transit,66 mins,339
253,253,Not Delivered,21 mins,430
254,254,Not Delivered,22 mins,418
255,255,Not Delivered,47 mins,325
256,256,In Transit,42 mins,341
257,257,Delivered,59 mins,287
258,258,In Transit,42 mins,58
259,259,Delivered,61 mins,224
260,260,Delivered,96 mins,229
261,261,Not Delivered,47 mins,292
262,262,Not Delivered,98 mins,327
263,263,In Transit,49 mins,140
264,264,Delivered,38 mins,374
265,265,In Transit,75 mins,185
266,266,Delivered,84 mins,219
267,267,In Transit,106 mins,99
268,268,Not Delivered,99 mins,8
269,269,In Transit,41 mins,175
270,270,Delivered,72 mins,282
271,271,Not Delivered,55 mins,144
272,272,Not Delivered,58 mins,326
273,273,Delivered,51 mins,53
274,274,Not Delivered,64 mins,198
275,275,Delivered,38 mins,308
276,276,Delivered,22 mins,455
277,277,Not Delivered,113 mins,65
278,278,In Transit,119 mins,207
279,279,Not Delivered,60 mins,96
280,280,Delivered,19 mins,150
281,281,Not Delivered,86 mins,499
282,282,Delivered,112 mins,122
283,283,Delivered,72 mins,44
284,284,Delivered,54 mins,87
285,285,Not Delivered,52 mins,141
286,286,In Transit,46 mins,282
287,287,Delivered,99 mins,169
288,288,In Transit,103 mins,497
289,289,In Transit,115 mins,249
290,290,In Transit,65 mins,200
291,291,In Transit,31 mins,363
292,292,Not Delivered,108 mins,429
293,293,Not Delivered,26 mins,275
294,294,Not Delivered,59 mins,182
295,295,In Transit,22 mins,364
296,296,Delivered,81 mins,120
297,297,Delivered,35 mins,318
298,298,Delivered,69 mins,221
299,299,Not Delivered,29 mins,230
300,300,Delivered,32 mins,62
301,301,Not Delivered,35 mins,477
302,302,In Transit,66 mins,58
303,303,In Transit,96 mins,301
304,304,Not Delivered,67 mins,133
305,305,Not Delivered,104 mins,470
306,306,In Transit,102 mins,337
307,307,Delivered,114 mins,343
308,308,Not Delivered,17 mins,194
309,309,In Transit,120 mins,262
310,310,Delivered,70 mins,313
311,311,In Transit,114 mins,245
312,312,In Transit,109 mins,405
313,313,In Transit,42 mins,106
314,314,Not Delivered,45 mins,129
315,315,Delivered,74 mins,148
316,316,Not Delivered,80 mins,203
317,317,Not Delivered,31 mins,161
318,318,Not Delivered,68 mins,424
319,319,Not Delivered,86 mins,320
320,320,Delivered,69 mins,93
321,321,Delivered,20 mins,356
322,322,Not Delivered,73 mins,284
323,323,Not Delivered,67 mins,339
324,324,Not Delivered,77 mins,400
325,325,Delivered,28 mins,294
326,326,Delivered,105 mins,392
327,327,In Transit,90 mins,317
328,328,In Transit,48 mins,381
329,329,Not Delivered,29 mins,498
330,330,Delivered,117 mins,181
331,331,Delivered,75 mins,419
332,332,Delivered,83 mins,80
333,333,In Transit,30 mins,152
334,334,Delivered,15 mins,228
335,335,Delivered,61 mins,309
336,336,Not Delivered,82 mins,314
337,337,In Transit,66 mins,418
338,338,In Transit,24 mins,128
339,339,Delivered,117 mins,282
340,340,Not Delivered,44 mins,266
341,341,Not Delivered,22 mins,398
342,342,Delivered,28 mins,296
343,343,Not Delivered,86 mins,379
344,344,Delivered,87 mins,376
345,345,Not Delivered,18 mins,280
346,346,Not Delivered,120 mins,55
347,347,Not Delivered,47 mins,497
348,348,In Transit,88 mins,70
349,349,In Transit,23 mins,230
350,350,Not Delivered,94 mins,387
351,351,Not Delivered,73 mins,130
352,352,Not Delivered,38 mins,165
353,353,In Transit,89 mins,15
354,354,Not Delivered,65 mins,133
355,355,Not Delivered,19 mins,127
356,356,In Transit,52 mins,134
357,357,In Transit,83 mins,88
358,358,Not Delivered,90 mins,87
359,359,Not Delivered,38 mins,159
360,360,In Transit,108 mins,1
361,361,In Transit,67 mins,131
362,362,In Transit,107 mins,347
363,363,Delivered,50 mins,275
364,364,Delivered,79 mins,203
365,365,In Transit,42 mins,260
366,366,Delivered,107 mins,431
367,367,Delivered,118 mins,315
368,368,In Transit,107 mins,379
369,369,In Transit,38 mins,78
370,370,In Transit,116 mins,415
371,371,Delivered,65 mins,247
372,372,Not Delivered,111 mins,192
373,373,Not Delivered,112 mins,479
374,374,In Transit,44 mins,116
375,375,Delivered,49 mins,157
376,376,Delivered,84 mins,278
377,377,Not Delivered,56 mins,299
378,378,Delivered,59 mins,283
379,379,Delivered,99 mins,205
380,380,Not Delivered,70 mins,300
381,381,Not Delivered,60 mins,287
382,382,Not Delivered,105 mins,381
383,383,Delivered,111 mins,450
384,384,Not Delivered,16 mins,434
385,385,In Transit,84 mins,46
386,386,Delivered,75 mins,483
387,387,In Transit,80 mins,178
388,388,In Transit,79 mins,120
389,389,Delivered,118 mins,288
390,390,Not Delivered,25 mins,314
391,391,Not Delivered,31 mins,409
392,392,Delivered,36 mins,366
393,393,Delivered,58 mins,19
394,394,In Transit,108 mins,421
395,395,In Transit,37 mins,152
396,396,In Transit,79 mins,71
397,397,In Transit,99 mins,64
398,398,Delivered,27 mins,268
399,399,Delivered,76 mins,92
400,400,In Transit,30 mins,51
401,401,Delivered,31 mins,104
402,402,Delivered,91 mins,155
403,403,Not Delivered,119 mins,371
404,404,In Transit,90 mins,421
405,405,Delivered,35 mins,336
406,406,Not Delivered,102 mins,42
407,407,Not Delivered,45 mins,473
408,408,Not Delivered,96 mins,2
409,409,Not Delivered,39 mins,468
410,410,Not Delivered,46 mins,37
411,411,Not Delivered,52 mins,426
412,412,Not Delivered,99 mins,157
413,413,Not Delivered,34 mins,326
414,414,In Transit,89 mins,197
415,415,Delivered,80 mins,89
416,416,In Transit,57 mins,161
417,417,Delivered,86 mins,165
418,418,In Transit,92 mins,231
419,419,Delivered,82 mins,371
420,420,Delivered,30 mins,344
421,421,Delivered,106 mins,316
422,422,Not Delivered,101 mins,458
423,423,In Transit,44 mins,59
424,424,In Transit,72 mins,310
425,425,In Transit,99 mins,479
426,426,Delivered,86 mins,18
427,427,Not Delivered,27 mins,492
428,428,Delivered,97 mins,336
429,429,Not Delivered,20 mins,286
430,430,Not Delivered,108 mins,103
431,431,Not Delivered,30 mins,182
432,432,Delivered,114 mins,337
433,433,Delivered,100 mins,363
434,434,In Transit,63 mins,165
435,435,Delivered,102 mins,500
436,436,In Transit,41 mins,160
437,437,Not Delivered,69 mins,213
438,438,Not Delivered,119 mins,80
439,439,Not Delivered,41 mins,70
440,440,Delivered,119 mins,485
441,441,Delivered,50 mins,355
442,442,Not Delivered,98 mins,22
443,443,Delivered,33 mins,466
444,444,Not Delivered,19 mins,155
445,445,Delivered,107 mins,206
446,446,Delivered,98 mins,349
447,447,Not Delivered,50 mins,492
448,448,Not Delivered,106 mins,461
449,449,In Transit,52 mins,492
450,450,Delivered,63 mins,46
451,451,In Transit,73 mins,223
452,452,In Transit,26 mins,129
453,453,Delivered,16 mins,103
454,454,In Transit,110 mins,339
455,455,In Transit,47 mins,167
456,456,Not Delivered,16 mins,177
457,457,Not Delivered,31 mins,472
458,458,Not Delivered,68 mins,447
459,459,In Transit,50 mins,479
460,460,Not Delivered,32 mins,306
461,461,In Transit,107 mins,279
462,462,Not Delivered,68 mins,40
463,463,In Transit,93 mins,370
464,464,Not Delivered,90 mins,243
465,465,Not Delivered,111 mins,45
466,466,Delivered,92 mins,376
467,467,Not Delivered,20 mins,65
468,468,Delivered,73 mins,126
469,469,Delivered,65 mins,227
470,470,In Transit,91 mins,177
471,471,Delivered,80 mins,263
472,472,In Transit,83 mins,327
473,473,Not Delivered,52 mins,213
474,474,Delivered,68 mins,365
475,475,In Transit,68 mins,399
476,476,Delivered,114 mins,182
477,477,Not Delivered,36 mins,476
478,478,Not Delivered,116 mins,473
479,479,In Transit,54 mins,113
480,480,Not Delivered,25 mins,279
481,481,Delivered,31 mins,102
482,482,Delivered,114 mins,158
483,483,In Transit,77 mins,454
484,484,Delivered,113 mins,427
485,485,Delivered,35 mins,198
486,486,Not Delivered,108 mins,192
487,487,Not Delivered,112 mins,443
488,488,Delivered,38 mins,481
489,489,Not Delivered,34 mins,259
490,490,In Transit,20 mins,328
491,491,Delivered,51 mins,40
492,492,Delivered,25 mins,267
493,493,In Transit,66 mins,431
494,494,Not Delivered,96 mins,313
495,495,In Transit,27 mins,50
496,496,Delivered,15 mins,156
497,497,In Transit,31 mins,222
498,498,Not Delivered,74 mins,279
499,499,Delivered,59 mins,137
500,500,In Transit,105 mins,347
501,501,Delivered,95 mins,61
502,502,Not Delivered,46 mins,48
503,503,In Transit,15 mins,218
504,504,Delivered,28 mins,103
505,505,Not Delivered,107 mins,118
506,506,Delivered,34 mins,185
507,507,Delivered,35 mins,110
508,508,Not Delivered,116 mins,63
509,509,Delivered,53 mins,375
510,510,In Transit,107 mins,429
511,511,Not Delivered,28 mins,156
512,512,In Transit,103 mins,377
513,513,Not Delivered,100 mins,360
514,514,In Transit,25 mins,399
515,515,In Transit,91 mins,267
516,516,In Transit,60 mins,44
517,517,Not Delivered,120 mins,160
518,518,Delivered,66 mins,1
519,519,Not Delivered,119 mins,55
520,520,Not Delivered,40 mins,395
521,521,Not Delivered,47 mins,407
522,522,In Transit,78 mins,146
523,523,In Transit,51 mins,321
524,524,Delivered,68 mins,366
525,525,Delivered,37 mins,433
526,526,Delivered,85 mins,301
527,527,Not Delivered,106 mins,376
528,528,Not Delivered,65 mins,416
529,529,Not Delivered,26 mins,276
530,530,In Transit,23 mins,393
531,531,Delivered,96 mins,477
532,532,Not Delivered,41 mins,228
533,533,Not Delivered,33 mins,18
534,534,Delivered,97 mins,75
535,535,Delivered,45 mins,148
536,536,In Transit,28 mins,177
537,537,In Transit,104 mins,290
538,538,Delivered,19 mins,174
539,539,Not Delivered,61 mins,236
540,540,Delivered,32 mins,200
541,541,Delivered,33 mins,58
542,542,In Transit,31 mins,23
543,543,Delivered,60 mins,4
544,544,Delivered,71 mins,226
545,545,Delivered,41 mins,223
546,546,In Transit,15 mins,447
547,547,Delivered,40 mins,96
548,548,In Transit,48 mins,486
549,549,Not Delivered,62 mins,446
550,550,Not Delivered,118 mins,251
551,551,In Transit,48 mins,468
552,552,In Transit,116 mins,65
553,553,In Transit,58 mins,176
554,554,Not Delivered,67 mins,113
555,555,Not Delivered,95 mins,42
556,556,Delivered,41 mins,8
557,557,Not Delivered,73 mins,168
558,558,In Transit,73 mins,433
559,559,In Transit,44 mins,427
560,560,Delivered,31 mins,243
561,561,Not Delivered,28 mins,442
562,562,In Transit,55 mins,301
563,563,Not Delivered,21 mins,161
564,564,In Transit,68 mins,103
565,565,Delivered,38 mins,354
566,566,Not Delivered,102 mins,384
567,567,In Transit,41 mins,63
568,568,Delivered,110 mins,311
569,569,Not Delivered,65 mins,201
570,570,Delivered,68 mins,495
571,571,In Transit,50 mins,399
572,572,In Transit,103 mins,185
573,573,In Transit,15 mins,258
574,574,Delivered,57 mins,116
575,575,Not Delivered,24 mins,384
576,576,In Transit,43 mins,392
577,577,Delivered,67 mins,97
578,578,In Transit,91 mins,54
579,579,In Transit,111 mins,65
580,580,Not Delivered,99 mins,194
581,581,Delivered,66 mins,395
582,582,In Transit,88 mins,65
583,583,Not Delivered,50 mins,88
584,584,In Transit,101 mins,228
585,585,Delivered,79 mins,9
586,586,Not Delivered,112 mins,381
587,587,Delivered,21 mins,352
588,588,Not Delivered,77 mins,18
589,589,Not Delivered,34 mins,131
590,590,Not Delivered,79 mins,417
591,591,In Transit,108 mins,76
592,592,In Transit,37 mins,237
593,593,Not Delivered,51 mins,148
594,594,Delivered,117 mins,403
595,595,Not Delivered,32 mins,442
596,596,In Transit,80 mins,222
597,597,In Transit,115 mins,61
598,598,Not Delivered,63 mins,83
599,599,In Transit,112 mins,480
600,600,Not Delivered,91 mins,121
601,601,In Transit,90 mins,322
602,602,Delivered,91 mins,440
603,603,In Transit,52 mins,238
604,604,Not Delivered,31 mins,486
605,605,Not Delivered,77 mins,164
606,606,Delivered,87 mins,56
607,607,Not Delivered,73 mins,305
608,608,Delivered,29 mins,325
609,609,In Transit,60 mins,103
610,610,In Transit,51 mins,232
611,611,In Transit,106 mins,358
612,612,In Transit,42 mins,499
613,613,Not Delivered,98 mins,100
614,614,In Transit,91 mins,182
615,615,Delivered,26 mins,142
616,616,Not Delivered,35 mins,80
617,617,Delivered,109 mins,23
618,618,Delivered,72 mins,144
619,619,Delivered,42 mins,283
620,620,Delivered,18 mins,180
621,621,Delivered,47 mins,270
622,622,Not Delivered,50 mins,174
623,623,In Transit,68 mins,270
624,624,Delivered,72 mins,98
625,625,Not Delivered,46 mins,236
626,626,Delivered,63 mins,384
627,627,Not Delivered,102 mins,429
628,628,Not Delivered,96 mins,403
629,629,Delivered,85 mins,134
630,630,In Transit,116 mins,105
631,631,Not Delivered,66 mins,251
632,632,Not Delivered,69 mins,147
633,633,Not Delivered,90 mins,246
634,634,In Transit,112 mins,216
635,635,Not Delivered,60 mins,163
636,636,Delivered,24 mins,309
637,637,Not Delivered,96 mins,168
638,638,Not Delivered,64 mins,102
639,639,In Transit,69 mins,465
640,640,Not Delivered,19 mins,432
641,641,In Transit,61 mins,21
642,642,In Transit,61 mins,476
643,643,In Transit,64 mins,345
644,644,Not Delivered,117 mins,125
645,645,In Transit,30 mins,235
646,646,Delivered,42 mins,298
647,647,Delivered,95 mins,107
648,648,Delivered,55 mins,306
649,649,In Transit,95 mins,406
650,650,In Transit,46 mins,410
651,651,Delivered,53 mins,164
652,652,In Transit,102 mins,272
653,653,Not Delivered,41 mins,220
654,654,Delivered,108 mins,174
655,655,In Transit,63 mins,299
656,656,Not Delivered,105 mins,38
657,657,Not Delivered,89 mins,228
658,658,Not Delivered,81 mins,353
659,659,Not Delivered,76 mins,263
660,660,Not Delivered,51 mins,312
661,661,In Transit,56 mins,266
662,662,In Transit,98 mins,386
663,663,Not Delivered,83 mins,255
664,664,Delivered,110 mins,317
665,665,In Transit,75 mins,447
666,666,In Transit,102 mins,232
667,667,Not Delivered,115 mins,301
668,668,In Transit,32 mins,312
669,669,Not Delivered,114 mins,181
670,670,Delivered,70 mins,99
671,671,Not Delivered,82 mins,204
672,672,Delivered,42 mins,62
673,673,Not Delivered,47 mins,476
674,674,Delivered,33 mins,156
675,675,Not Delivered,50 mins,109
676,676,Not Delivered,100 mins,366
677,677,In Transit,30 mins,199
678,678,Delivered,33 mins,177
679,679,In Transit,63 mins,279
680,680,In Transit,51 mins,59
681,681,Not Delivered,84 mins,325
682,682,Not Delivered,60 mins,141
683,683,In Transit,43 mins,89
684,684,Delivered,92 mins,365
685,685,In Transit,105 mins,220
686,686,In Transit,18 mins,221
687,687,Delivered,41 mins,409
688,688,In Transit,43 mins,207
689,689,In Transit,39 mins,410
690,690,Delivered,77 mins,429
691,691,In Transit,65 mins,177
692,692,Not Delivered,105 mins,57
693,693,In Transit,17 mins,489
694,694,Delivered,38 mins,8
695,695,Not Delivered,21 mins,64
696,696,Not Delivered,115 mins,305
697,697,Delivered,43 mins,493
698,698,In Transit,74 mins,2
699,699,In Transit,112 mins,220
700,700,Delivered,79 mins,308
701,701,In Transit,36 mins,184
702,702,Not Delivered,81 mins,431
703,703,In Transit,81 mins,219
704,704,Not Delivered,64 mins,441
705,705,Not Delivered,43 mins,415
706,706,In Transit,19 mins,227
707,707,Not Delivered,77 mins,69
708,708,In Transit,104 mins,252
709,709,Not Delivered,33 mins,491
710,710,In Transit,27 mins,305
711,711,Delivered,102 mins,380
712,712,Not Delivered,80 mins,284
713,713,In Transit,67 mins,378
714,714,Delivered,119 mins,401
715,715,In Transit,88 mins,267
716,716,Delivered,67 mins,296
717,717,In Transit,86 mins,375
718,718,In Transit,73 mins,219
719,719,Not Delivered,37 mins,313
720,720,Delivered,97 mins,392
721,721,Not Delivered,44 mins,240
722,722,Delivered,119 mins,474
723,723,Not Delivered,39 mins,93
724,724,In Transit,21 mins,435
725,725,In Transit,71 mins,91
726,726,Not Delivered,97 mins,255
727,727,In Transit,107 mins,223
728,728,Delivered,64 mins,305
729,729,In Transit,109 mins,82
730,730,In Transit,42 mins,130
731,731,Delivered,43 mins,126
732,732,Delivered,66 mins,188
733,733,In Transit,47 mins,349
734,734,Not Delivered,120 mins,66
735,735,Delivered,83 mins,56
736,736,In Transit,116 mins,159
737,737,In Transit,61 mins,310
738,738,In Transit,118 mins,375
739,739,In Transit,63 mins,478
740,740,Not Delivered,79 mins,17
741,741,In Transit,70 mins,133
742,742,Delivered,23 mins,370
743,743,Not Delivered,81 mins,75
744,744,Not Delivered,48 mins,2
745,745,Delivered,30 mins,143
746,746,In Transit,67 mins,149
747,747,Not Delivered,89 mins,466
748,748,In Transit,81 mins,119
749,749,Not Delivered,69 mins,13
750,750,Delivered,17 mins,322
751,751,Delivered,79 mins,422
752,752,In Transit,83 mins,273
753,753,Not Delivered,37 mins,490
754,754,Not Delivered,84 mins,30
755,755,Delivered,97 mins,484
756,756,Delivered,16 mins,213
757,757,In Transit,88 mins,197
758,758,Delivered,88 mins,126
759,759,Delivered,102 mins,358
760,760,Not Delivered,60 mins,210
761,761,Delivered,41 mins,144
762,762,Delivered,108 mins,42
763,763,In Transit,87 mins,303
764,764,Delivered,18 mins,97
765,765,Not Delivered,44 mins,361
766,766,Delivered,34 mins,62
767,767,Not Delivered,20 mins,164
768,768,Not Delivered,80 mins,318
769,769,Delivered,47 mins,367
770,770,Delivered,41 mins,271
771,771,Delivered,55 mins,359
772,772,Delivered,74 mins,296
773,773,Delivered,71 mins,128
774,774,Not Delivered,24 mins,226
775,775,Delivered,37 mins,432
776,776,In Transit,38 mins,142
777,777,Not Delivered,19 mins,208
778,778,Not Delivered,65 mins,336
779,779,Not Delivered,18 mins,229
780,780,In Transit,24 mins,32
781,781,Not Delivered,103 mins,143
782,782,Delivered,99 mins,309
783,783,In Transit,29 mins,43
784,784,Delivered,55 mins,368
785,785,Not Delivered,52 mins,312
786,786,Delivered,21 mins,381
787,787,In Transit,57 mins,454
788,788,Delivered,82 mins,322
789,789,In Transit,98 mins,317
790,790,Delivered,59 mins,375
791,791,Not Delivered,95 mins,490
792,792,Not Delivered,101 mins,28
793,793,In Transit,72 mins,297
794,794,Not Delivered,68 mins,57
795,795,Not Delivered,97 mins,300
796,796,Not Delivered,35 mins,284
797,797,Delivered,95 mins,327
798,798,Delivered,33 mins,112
799,799,Delivered,76 mins,398
800,800,Not Delivered,56 mins,161
801,801,Delivered,21 mins,86
802,802,In Transit,106 mins,399
803,803,Delivered,24 mins,156
804,804,Not Delivered,88 mins,83
805,805,Delivered,45 mins,77
806,806,Not Delivered,55 mins,111
807,807,Not Delivered,37 mins,367
808,808,In Transit,103 mins,192
809,809,In Transit,76 mins,437
810,810,Not Delivered,81 mins,483
811,811,Delivered,118 mins,355
812,812,Delivered,58 mins,161
813,813,Delivered,61 mins,493
814,814,Not Delivered,84 mins,162
815,815,Not Delivered,34 mins,120
816,816,Delivered,92 mins,114
817,817,In Transit,34 mins,192
818,818,Not Delivered,42 mins,268
819,819,Not Delivered,91 mins,168
820,820,Delivered,33 mins,491
821,821,Not Delivered,60 mins,408
822,822,Not Delivered,68 mins,382
823,823,Delivered,108 mins,137
824,824,In Transit,79 mins,385
825,825,Not Delivered,87 mins,309
826,826,In Transit,80 mins,273
827,827,Delivered,81 mins,188
828,828,Not Delivered,75 mins,211
829,829,Not Delivered,74 mins,443
830,830,Not Delivered,80 mins,140
831,831,Not Delivered,104 mins,467
832,832,In Transit,117 mins,219
833,833,Not Delivered,63 mins,155
834,834,Delivered,85 mins,434
